Day,ID,Age,Sex,EtOH_Pref
1,F1,3 wk,F,0.14
1,F2,3 wk,F,0.770833333
1,F3,3 wk,F,0.414634146
1,F4,3 wk,F,0.939393939
1,F5,3 wk,F,0.272727273
1,F6,3 wk,F,0.048780488
1,F7,6 wk,F,0.333333333
1,F8,6 wk,F,0.4
1,F9,6 wk,F,0.210526316
1,F10,6 wk,F,0.16
1,F11,6 wk,F,0.444444444
1,F12,6 wk,F,0.204545455
1,F13,18 wk,F,0.659090909
1,F14,18 wk,F,0.55
1,F15,18 wk,F,0.081081081
1,F16,18 wk,F,0.65625
1,F17,18 wk,F,0.405405405
1,F18,18 wk,F,0.23255814
2,F1,3 wk,F,0.071428571
2,F2,3 wk,F,0.292682927
2,F3,3 wk,F,0.657142857
2,F4,3 wk,F,0.25
2,F5,3 wk,F,0.161290323
2,F6,3 wk,F,1.027027027
2,F7,6 wk,F,0.365853659
2,F8,6 wk,F,0.416666667
2,F9,6 wk,F,0.4375
2,F10,6 wk,F,0.105263158
2,F11,6 wk,F,0.75862069
2,F12,6 wk,F,0.292682927
2,F13,18 wk,F,0.682926829
2,F14,18 wk,F,0.515151515
2,F15,18 wk,F,0.032258065
2,F16,18 wk,F,0.6
2,F17,18 wk,F,0.333333333
2,F18,18 wk,F,0.285714286
3,F1,3 wk,F,0.196078431
3,F2,3 wk,F,0.36
3,F3,3 wk,F,0.653061224
3,F4,3 wk,F,0.657142857
3,F5,3 wk,F,0.41025641
3,F6,3 wk,F,0.046511628
3,F7,6 wk,F,0.543478261
3,F8,6 wk,F,0.4
3,F9,6 wk,F,0.428571429
3,F10,6 wk,F,0.235294118
3,F11,6 wk,F,0.763157895
3,F12,6 wk,F,0.333333333
3,F13,18 wk,F,0.547169811
3,F14,18 wk,F,0.35
3,F15,18 wk,F,0.193548387
3,F16,18 wk,F,0.621621622
3,F17,18 wk,F,0.35
3,F18,18 wk,F,0.222222222
4,F1,3 wk,F,0.119047619
4,F2,3 wk,F,0.25
4,F3,3 wk,F,0.764705882
4,F4,3 wk,F,0.071428571
4,F5,3 wk,F,0.419354839
4,F6,3 wk,F,1
4,F7,6 wk,F,0.305555556
4,F8,6 wk,F,0.378378378
4,F9,6 wk,F,0.551724138
4,F10,6 wk,F,0
4,F11,6 wk,F,0.777777778
4,F12,6 wk,F,0.435897436
4,F13,18 wk,F,0.697674419
4,F14,18 wk,F,0.170731707
4,F15,18 wk,F,0.21875
4,F16,18 wk,F,0.580645161
4,F17,18 wk,F,0.457142857
4,F18,18 wk,F,0.292682927
5,F1,3 wk,F,0.296296296
5,F2,3 wk,F,0.396551724
5,F3,3 wk,F,0.444444444
5,F4,3 wk,F,0.763157895
5,F5,3 wk,F,0.487179487
5,F6,3 wk,F,0.162790698
5,F7,6 wk,F,0.391304348
5,F8,6 wk,F,0.565217391
5,F9,6 wk,F,0.578947368
5,F10,6 wk,F,0.342857143
5,F11,6 wk,F,0.785714286
5,F12,6 wk,F,0.361702128
5,F13,18 wk,F,0.807692308
5,F14,18 wk,F,0.254901961
5,F15,18 wk,F,0.076923077
5,F16,18 wk,F,0.555555556
5,F17,18 wk,F,0.704545455
5,F18,18 wk,F,0.211538462
6,F1,3 wk,F,0.097560976
6,F2,3 wk,F,0.333333333
6,F3,3 wk,F,0.717948718
6,F4,3 wk,F,0.28125
6,F5,3 wk,F,0.4375
6,F6,3 wk,F,1
6,F7,6 wk,F,0.2
6,F8,6 wk,F,0.485714286
6,F9,6 wk,F,0.7
6,F10,6 wk,F,0.318181818
6,F11,6 wk,F,0.933333333
6,F12,6 wk,F,0.473684211
6,F13,18 wk,F,0.871794872
6,F14,18 wk,F,0.40625
6,F15,18 wk,F,0
6,F16,18 wk,F,0.62962963
6,F17,18 wk,F,0.774193548
6,F18,18 wk,F,0.088235294
7,F1,3 wk,F,0.106382979
7,F2,3 wk,F,0.222222222
7,F3,3 wk,F,0.52173913
7,F4,3 wk,F,0.512195122
7,F5,3 wk,F,0.461538462
7,F6,3 wk,F,0.028571429
7,F7,6 wk,F,0.553191489
7,F8,6 wk,F,0.227272727
7,F9,6 wk,F,0.606060606
7,F10,6 wk,F,0.586206897
7,F11,6 wk,F,0.756097561
7,F12,6 wk,F,0.446808511
7,F13,18 wk,F,0.807017544
7,F14,18 wk,F,0.285714286
7,F15,18 wk,F,0.114285714
7,F16,18 wk,F,0.511627907
7,F17,18 wk,F,0.727272727
7,F18,18 wk,F,0.092592593
8,F1,3 wk,F,0.477272727
8,F2,3 wk,F,0.318181818
8,F3,3 wk,F,0.645833333
8,F4,3 wk,F,0.34375
8,F5,3 wk,F,0.588235294
8,F6,3 wk,F,1
8,F7,6 wk,F,0.444444444
8,F8,6 wk,F,0.1
8,F9,6 wk,F,0.814814815
8,F10,6 wk,F,0.434782609
8,F11,6 wk,F,0.896551724
8,F12,6 wk,F,0.206896552
8,F13,18 wk,F,0.707317073
8,F14,18 wk,F,0.333333333
8,F15,18 wk,F,0.060606061
8,F16,18 wk,F,0.464285714
8,F17,18 wk,F,0.454545455
8,F18,18 wk,F,0.046511628
9,F1,3 wk,F,0.274509804
9,F2,3 wk,F,0.22
9,F3,3 wk,F,0.4
9,F4,3 wk,F,0.375
9,F5,3 wk,F,0.621621622
9,F6,3 wk,F,0.027777778
9,F7,6 wk,F,0.861111111
9,F8,6 wk,F,0.075
9,F9,6 wk,F,0.78125
9,F10,6 wk,F,0.375
9,F11,6 wk,F,0.85
9,F12,6 wk,F,0.341463415
9,F13,18 wk,F,0.652173913
9,F14,18 wk,F,0.095238095
9,F15,18 wk,F,0.146341463
9,F16,18 wk,F,0.588235294
9,F17,18 wk,F,0.432432432
9,F18,18 wk,F,0.052631579
10,F1,3 wk,F,0.557692308
10,F2,3 wk,F,0.403846154
10,F3,3 wk,F,0.558139535
10,F4,3 wk,F,0.131578947
10,F5,3 wk,F,0.684210526
10,F6,3 wk,F,1
10,F7,6 wk,F,0.365853659
10,F8,6 wk,F,0.243243243
10,F9,6 wk,F,0.705882353
10,F10,6 wk,F,0.344827586
10,F11,6 wk,F,0.925
10,F12,6 wk,F,0.30952381
10,F13,18 wk,F,0.523809524
10,F14,18 wk,F,0.125
10,F15,18 wk,F,0.055555556
10,F16,18 wk,F,0.694444444
10,F17,18 wk,F,0.5
10,F18,18 wk,F,0
11,F1,3 wk,F,0.730769231
11,F2,3 wk,F,0.12195122
11,F3,3 wk,F,0.418604651
11,F4,3 wk,F,0.212121212
11,F5,3 wk,F,0.764705882
11,F6,3 wk,F,0
11,F7,6 wk,F,0.441176471
11,F8,6 wk,F,0
11,F9,6 wk,F,0.727272727
11,F10,6 wk,F,0.181818182
11,F11,6 wk,F,0.8
11,F12,6 wk,F,0.324324324
11,F13,18 wk,F,0.976190476
11,F14,18 wk,F,0.055555556
11,F15,18 wk,F,-0.04
11,F16,18 wk,F,0.727272727
11,F17,18 wk,F,0.454545455
11,F18,18 wk,F,0.068181818
12,F1,3 wk,F,0.56
12,F2,3 wk,F,0.191489362
12,F3,3 wk,F,0.56
12,F4,3 wk,F,0.2
12,F5,3 wk,F,0.469387755
12,F6,3 wk,F,0.977777778
12,F7,6 wk,F,0.428571429
12,F8,6 wk,F,0.170731707
12,F9,6 wk,F,0.71875
12,F10,6 wk,F,0
12,F11,6 wk,F,0.648648649
12,F12,6 wk,F,0.479166667
12,F13,18 wk,F,0.76
12,F14,18 wk,F,0.157894737
12,F15,18 wk,F,0.125
12,F16,18 wk,F,0.793103448
12,F17,18 wk,F,0.684210526
12,F18,18 wk,F,0.142857143
13,F1,3 wk,F,0.603448276
13,F2,3 wk,F,0.326530612
13,F3,3 wk,F,0.431372549
13,F4,3 wk,F,0.142857143
13,F5,3 wk,F,0.657142857
13,F6,3 wk,F,0.052631579
13,F7,6 wk,F,0.45
13,F8,6 wk,F,0.175
13,F9,6 wk,F,0.828571429
13,F10,6 wk,F,0.151515152
13,F11,6 wk,F,0.477272727
13,F12,6 wk,F,0.288461538
13,F13,18 wk,F,0.553191489
13,F14,18 wk,F,0.119047619
13,F15,18 wk,F,0.11627907
13,F16,18 wk,F,0.694444444
13,F17,18 wk,F,0.324324324
13,F18,18 wk,F,0.25
14,F1,3 wk,F,0.589285714
14,F2,3 wk,F,0.311111111
14,F3,3 wk,F,0.659090909
14,F4,3 wk,F,0.225
14,F5,3 wk,F,0.463414634
14,F6,3 wk,F,1
14,F7,6 wk,F,0.324324324
14,F8,6 wk,F,0.142857143
14,F9,6 wk,F,0.764705882
14,F10,6 wk,F,0.222222222
14,F11,6 wk,F,0.325581395
14,F12,6 wk,F,0.25
14,F13,18 wk,F,0.448979592
14,F14,18 wk,F,0.026315789
14,F15,18 wk,F,0.105263158
14,F16,18 wk,F,0.552631579
14,F17,18 wk,F,0.6
14,F18,18 wk,F,0.365853659
