ID,Age,Sex,Day,R_side_pref
M20,18 wk,M,1,0.046511628
M21,18 wk,M,1,0.23255814
M22,6 wk,M,1,0.195652174
M23,6 wk,M,1,0.105263158
M24,6 wk,M,1,0.754385965
M25,3 wk,M,1,0.102564103
M26,3 wk,M,1,0.488372093
M27,3 wk,M,1,0.163636364
M19,18 wk,M,2,0
M20,18 wk,M,2,0
M21,18 wk,M,2,0.189189189
M22,6 wk,M,2,0.023255814
M23,6 wk,M,2,0
M24,6 wk,M,2,0.289473684
M25,3 wk,M,2,0.074074074
M26,3 wk,M,2,0.0625
M27,3 wk,M,2,0.086956522
M19,18 wk,M,3,0.333333333
M20,18 wk,M,3,0.075471698
M21,18 wk,M,3,0.092592593
M22,6 wk,M,3,0.152173913
M23,6 wk,M,3,0.06122449
M24,6 wk,M,3,0.285714286
M25,3 wk,M,3,0.093023256
M26,3 wk,M,3,0.369565217
M27,3 wk,M,3,0.089285714
M19,18 wk,M,4,0.071428571
M20,18 wk,M,4,0
M21,18 wk,M,4,0.023255814
M22,6 wk,M,4,0.131578947
M23,6 wk,M,4,0
M24,6 wk,M,4,0
M25,3 wk,M,4,0.114285714
M26,3 wk,M,4,0.307692308
M27,3 wk,M,4,0.043478261
M19,18 wk,M,5,0.555555556
M20,18 wk,M,5,0.0625
M21,18 wk,M,5,0
M22,6 wk,M,5,0.097560976
M23,6 wk,M,5,0.045454545
M24,6 wk,M,5,0.052631579
M25,3 wk,M,5,0.090909091
M26,3 wk,M,5,0.288888889
M27,3 wk,M,5,0.117647059
M19,18 wk,M,6,0.138888889
M20,18 wk,M,6,0.0625
M21,18 wk,M,6,0.1
M22,6 wk,M,6,0.111111111
M23,6 wk,M,6,0.11627907
M24,6 wk,M,6,0.064516129
M25,3 wk,M,6,0.282051282
M26,3 wk,M,6,0.367346939
M27,3 wk,M,6,0.098039216
M19,18 wk,M,7,0.580645161
M20,18 wk,M,7,0
M21,18 wk,M,7,0
M22,6 wk,M,7,0.1
M23,6 wk,M,7,0
M24,6 wk,M,7,0.016666667
M25,3 wk,M,7,0.212121212
M26,3 wk,M,7,0.380952381
M27,3 wk,M,7,0.041666667
M19,18 wk,M,8,0.275862069
M20,18 wk,M,8,0.022222222
M21,18 wk,M,8,0.042553191
M22,6 wk,M,8,0.095238095
M23,6 wk,M,8,0.026315789
M24,6 wk,M,8,0.00952381
M25,3 wk,M,8,0.289473684
M26,3 wk,M,8,0.441860465
M27,3 wk,M,8,0.130434783
M19,18 wk,M,9,0.736842105
M20,18 wk,M,9,0.040816327
M21,18 wk,M,9,0
M22,6 wk,M,9,0.088888889
M23,6 wk,M,9,0.097560976
M24,6 wk,M,9,0.055555556
M25,3 wk,M,9,0.238095238
M26,3 wk,M,9,0.5
M27,3 wk,M,9,0.127272727
M19,18 wk,M,10,0.615384615
M20,18 wk,M,10,0.105263158
M21,18 wk,M,10,0.208333333
M22,6 wk,M,10,0.127659574
M23,6 wk,M,10,0.065217391
M24,6 wk,M,10,0.05
M25,3 wk,M,10,0.390243902
M26,3 wk,M,10,0.212765957
M27,3 wk,M,10,0.235294118
M19,18 wk,M,11,0.6
M20,18 wk,M,11,0
M21,18 wk,M,11,0.170212766
M22,6 wk,M,11,0.146341463
M23,6 wk,M,11,0.05
M24,6 wk,M,11,0.05
M25,3 wk,M,11,0.3
M26,3 wk,M,11,0.357142857
M27,3 wk,M,11,0.234042553
M19,18 wk,M,12,0.114285714
M20,18 wk,M,12,0.038461538
M21,18 wk,M,12,0.025
M22,6 wk,M,12,0.166666667
M23,6 wk,M,12,0.027777778
